flow_kbps_mean,frame_rate,id_entropy,replay_ratio,fuzzy_ratio,spoof_ratio,error_ratio,inter_arrival_cv,burst_score,uds_ratio,payload_entropy,label
131.8306,727,0.5248,0.0153,0.0,0.0,0.0123,0.2606,0.2055,0.0511,0.4948,安全
154.3399,701,0.6237,0.023,0.0257,0.0162,0.0209,0.2101,0.3298,0.0026,0.3546,安全
131.2495,693,0.6428,0.0207,0.0,0.0148,0.0021,0.1305,0.2859,0.0289,0.5116,安全
133.3804,628,0.6758,0.0452,0.0172,0.2512,0.0908,0.1987,0.2677,0.0147,0.0873,安全
139.8902,874,0.5661,0.1241,0.014,0.2567,0.0269,0.3108,0.2603,0.0647,0.4738,安全
80.0692,637,0.7183,0.0104,0.0149,0.0209,0.0223,0.0805,0.2845,0.0499,0.3531,安全
107.7647,698,0.5278,0.0335,0.0221,0.0179,0.0168,0.257,0.05,0.0321,0.5981,安全
191.4243,772,0.6648,0.2438,0.0458,0.0693,0.0017,0.4914,0.2314,0.1733,0.4185,安全
171.6746,711,0.6409,0.0124,0.0,0.0439,0.0017,0.189,0.1777,0.0364,0.3042,安全
168.245,662,0.7009,0.0133,0.0114,0.0214,0.0,0.2065,0.0568,0.0039,0.2763,安全
143.1215,719,0.7107,0.0158,0.0046,0.0137,0.0095,0.1717,0.1971,0.0431,0.3568,安全
123.7257,747,0.7241,0.0111,0.0,0.0323,0.0172,0.2832,0.1518,0.0433,0.4519,安全
100.2851,724,0.8496,0.0229,0.0233,0.0303,0.0294,0.1297,0.3117,0.0367,0.5271,安全
126.7333,633,0.7157,0.0007,0.0,0.0095,0.027,0.1172,0.3345,0.0602,0.488,安全
116.0675,673,0.6803,0.0107,0.0012,0.0427,0.0129,0.2057,0.1234,0.0348,0.4074,安全
126.9911,684,0.7764,0.0375,0.0057,0.0133,0.0149,0.2569,0.3075,0.0065,0.4085,安全
132.0344,712,0.6126,0.0354,0.0044,0.0219,0.0125,0.2973,0.2701,0.0545,0.3324,安全
96.6995,678,0.7205,0.0293,0.0258,0.0,0.0293,0.1563,0.1691,0.0559,0.4753,安全
124.332,625,0.6691,0.0279,0.0224,0.0298,0.0104,0.1782,0.3049,0.025,0.4151,安全
133.4914,676,0.6573,0.025,0.0068,0.0,0.0033,0.2135,0.0777,0.0385,0.5098,安全
146.5934,798,0.98,0.033,0.0901,0.2543,0.02,0.1401,0.1261,0.0223,0.3403,安全
164.3476,620,0.7828,0.0186,0.0135,0.0369,0.0164,0.1134,0.1572,0.009,0.3369,安全
99.3843,757,0.2907,0.3514,0.0413,0.0313,0.0047,0.2618,0.4105,0.0478,0.1861,安全
133.0396,569,0.7222,0.0138,0.0,0.0246,0.0074,0.2902,0.3102,0.0224,0.3788,安全
131.6626,564,0.829,0.0238,0.0062,0.0262,0.0232,0.1433,0.1155,0.0172,0.3438,安全
109.0168,696,0.5915,0.2197,0.0081,0.1041,0.0,0.4241,0.0578,0.1266,0.5703,安全
135.4039,790,0.6963,0.0349,0.014,0.0127,0.0242,0.1628,0.122,0.0684,0.5107,安全
149.3363,664,0.692,0.0018,0.0069,0.0128,0.0003,0.1116,0.2072,0.0136,0.1838,安全
115.2229,654,0.6928,0.0308,0.0401,0.017,0.0112,0.1107,0.238,0.0034,0.4495,安全
110.6517,760,0.7972,0.1885,0.0557,0.0461,0.0037,0.2557,0.2632,0.0384,0.3467,安全
135.3445,781,0.7097,0.0128,0.0158,0.0314,0.0112,0.173,0.1332,0.0311,0.323,安全
164.034,869,0.6785,0.046,0.0009,0.0018,0.0495,0.355,0.1464,0.1629,0.5683,安全
109.8254,645,0.7603,0.0001,0.0138,0.0296,0.0154,0.1619,0.3594,0.0719,0.4965,安全
127.9412,711,0.9522,0.0206,0.009,0.0352,0.0303,0.2523,0.177,0.0678,0.4066,欺骗
293.3961,756,0.5578,0.0195,0.0707,0.3676,0.0881,0.2807,0.519,0.1407,0.4595,安全
149.7166,637,0.7478,0.028,0.0092,0.0377,0.0291,0.1628,0.224,0.0548,0.3592,安全
140.0492,746,0.6682,0.0232,0.0092,0.0369,0.0204,0.2105,0.2043,0.0506,0.4132,安全
156.2529,768,0.8089,0.009,0.0089,0.0209,0.0157,0.2397,0.2504,0.0157,0.5307,安全
136.2,642,0.8732,0.0356,0.0,0.0127,0.0148,0.127,0.2569,0.0595,0.4551,安全
128.612,684,0.6815,0.0316,0.0076,0.009,0.0079,0.1508,0.172,0.0472,0.4535,安全
128.1856,702,0.7464,0.0315,0.0122,0.0309,0.0021,0.1149,0.1966,0.0197,0.6115,安全
149.5661,754,0.6856,0.0113,0.009,0.0208,0.0067,0.2342,0.2156,0.0458,0.4007,安全
133.4155,633,0.8548,0.0247,0.0023,0.0385,0.0,0.1508,0.2082,0.0,0.4523,安全
109.2533,776,0.6973,0.0222,0.0162,0.0278,0.0037,0.1652,0.2925,0.0402,0.3593,安全
169.9726,709,0.8422,0.0072,0.0069,0.019,0.0046,0.2236,0.2943,0.0104,0.3854,安全
111.3526,702,0.7754,0.0073,0.0237,0.0003,0.0095,0.1613,0.0573,0.0544,0.4191,安全
115.9882,748,0.6919,0.0126,0.0165,0.0216,0.0031,0.1071,0.1819,0.0254,0.3145,安全
89.4954,759,0.7033,0.0345,0.0171,0.0181,0.02,0.1216,0.3075,0.0725,0.1988,安全
136.24,817,0.5754,0.1052,0.0022,0.0525,0.0136,0.2796,0.1278,0.037,0.3763,安全
150.1074,629,0.6665,0.0245,0.0237,0.0203,0.0155,0.2471,0.2463,0.0485,0.5043,安全
146.1313,859,0.6923,0.0403,0.0222,0.0021,0.0199,0.1802,0.1164,0.0018,0.2652,安全
126.1371,620,0.8941,0.0284,0.0029,0.004,0.0086,0.1998,0.2178,0.0202,0.3951,安全
110.1598,684,0.9557,0.0183,0.0178,0.0127,0.0224,0.1738,0.2338,0.0314,0.3853,安全
133.0244,711,0.5506,0.0188,0.0053,0.0083,0.0049,0.0942,0.1267,0.0724,0.3751,安全
84.5502,628,0.7054,0.0304,0.0222,0.0167,0.0106,0.2164,0.1174,0.0488,0.4643,安全
155.0262,751,0.6822,0.0249,0.0333,0.0279,0.0078,0.2159,0.2758,0.1096,0.6033,安全
121.4246,634,0.788,0.0237,0.04,0.0216,0.0238,0.1538,0.2451,0.0659,0.3824,安全
113.0798,591,0.7088,0.0193,0.0,0.0279,0.0067,0.2463,0.3029,0.0488,0.4775,安全
183.7589,909,0.8791,0.1853,0.0343,0.0475,0.0012,0.3264,0.138,0.0,0.434,安全
117.8581,631,0.6233,0.0247,0.0055,0.038,0.0034,0.2975,0.3681,0.0293,0.5226,安全
147.9182,566,0.7621,0.0196,0.0134,0.0098,0.0373,0.1818,0.2946,0.0492,0.4344,安全
140.883,790,0.7573,0.0,0.0181,0.0023,0.0262,0.2659,0.3565,0.0402,0.4661,安全
108.8934,618,0.8403,0.0136,0.0131,0.0207,0.0347,0.2152,0.2184,0.0242,0.3905,安全
158.1233,741,0.7604,0.0135,0.0263,0.0334,0.0224,0.2277,0.1527,0.0241,0.4632,安全
164.812,945,0.6834,0.362,0.0581,0.0677,0.006,0.3097,0.4268,0.1968,0.3837,安全
149.3995,781,0.3976,0.118,0.0988,0.0196,0.0674,0.4499,0.6196,0.0829,0.3443,安全
137.3423,780,0.7843,0.0122,0.0054,0.0075,0.0349,0.254,0.1644,0.0374,0.4313,安全
142.8989,725,0.7274,0.0299,0.0138,0.0225,0.0154,0.2117,0.0988,0.0247,0.4011,安全
105.7535,840,0.7751,0.0029,0.0,0.0222,0.0228,0.2802,0.0891,0.0271,0.6029,安全
142.6792,679,0.8114,0.0228,0.0169,0.0259,0.014,0.205,0.2263,0.036,0.4132,安全
139.6479,630,0.7498,0.0414,0.0088,0.0196,0.0143,0.1534,0.3381,0.0686,0.471,安全
104.7669,744,0.7324,0.0167,0.0055,0.0026,0.0115,0.24,0.3466,0.0555,0.4253,安全
160.5299,742,0.7373,0.0234,0.0219,0.0034,0.0233,0.2359,0.0555,0.0293,0.4033,安全
156.2346,722,0.7381,0.0336,0.0139,0.0243,0.0298,0.2512,0.3137,0.0308,0.3654,安全
148.0051,711,0.7199,0.0099,0.0,0.0211,0.0011,0.1653,0.1582,0.037,0.363,安全
117.8414,717,0.7073,0.0332,0.0,0.0144,0.0095,0.1473,0.1935,0.0312,0.2692,安全
143.0414,819,0.6658,0.0067,0.0143,0.014,0.0075,0.1789,0.1423,0.0762,0.2554,安全
134.1662,725,0.5445,0.0322,0.0108,0.0242,0.0015,0.2286,0.3054,0.0437,0.3253,安全
117.7238,705,0.6743,0.0218,0.0047,0.0198,0.0112,0.272,0.076,0.0294,0.4745,安全
118.1142,708,0.8582,0.0172,0.0171,0.0396,0.018,0.1834,0.1407,0.0459,0.3655,安全
145.6748,771,0.7785,0.0342,0.0092,0.0189,0.0249,0.2244,0.2688,0.0604,0.2728,安全
117.6613,785,0.7374,0.0224,0.0,0.0323,0.0276,0.2229,0.3054,0.0478,0.5428,安全
116.9661,738,0.79,0.006,0.025,0.0331,0.0262,0.1231,0.2733,0.0611,0.4582,安全
132.4714,807,0.8176,0.0,0.0,0.0252,0.0151,0.0627,0.2006,0.0501,0.4788,安全
127.36,691,0.8646,0.0135,0.0253,0.026,0.0058,0.118,0.2068,0.0521,0.4007,安全
130.532,684,0.3216,0.371,0.005,0.0465,0.1207,0.3292,0.5751,0.0654,0.197,安全
174.5935,675,0.5723,0.3885,0.0,0.005,0.1135,0.4524,0.4107,0.0,0.1229,安全
126.343,684,0.6559,0.0,0.0,0.0112,0.0207,0.1999,0.3118,0.0551,0.5215,安全
121.2574,779,0.7482,0.0207,0.0025,0.0229,0.0,0.1479,0.4212,0.0561,0.4032,安全
121.6574,638,0.5504,0.1571,0.0438,0.0482,0.0452,0.4211,0.6139,0.0699,0.2688,安全
134.7644,568,0.7714,0.028,0.0031,0.0353,0.018,0.128,0.1614,0.0847,0.4012,安全
141.9487,720,0.6892,0.0206,0.0,0.006,0.0,0.1821,0.1598,0.0264,0.3436,安全
88.1896,536,0.5854,0.0641,0.0285,0.0487,0.041,0.2108,0.2787,0.0563,0.446,安全
158.271,628,0.7546,0.0218,0.0082,0.0257,0.0086,0.066,0.2804,0.0379,0.5424,安全
135.813,584,0.9046,0.02,0.0079,0.0523,0.0046,0.2485,0.2134,0.0345,0.3937,安全
119.7319,616,0.744,0.0158,0.0026,0.0086,0.0,0.221,0.2869,0.0026,0.4102,安全
180.9753,860,0.5296,0.1841,0.0652,0.0526,0.002,0.3917,0.4144,0.1056,0.2111,安全
120.2679,612,0.5896,0.0108,0.0051,0.0068,0.0374,0.2535,0.1125,0.063,0.3075,安全
156.1835,885,0.7929,0.1968,0.0,0.065,0.0598,0.1256,0.4861,0.117,0.3518,安全
132.0612,585,0.7481,0.0218,0.0,0.0226,0.0075,0.1134,0.05,0.0046,0.3416,安全
152.9726,624,0.7896,0.0028,0.0058,0.0141,0.0155,0.2148,0.1714,0.0509,0.4809,安全
146.3094,708,0.709,0.0275,0.0101,0.0239,0.0304,0.0833,0.1857,0.0507,0.369,安全
130.3793,757,0.7542,0.0151,0.0059,0.013,0.0038,0.246,0.1143,0.0362,0.2863,安全
143.4336,603,0.5064,0.0088,0.0008,0.0049,0.0176,0.2631,0.2714,0.0829,0.3453,安全
134.5071,634,0.7067,0.0063,0.0,0.0288,0.0117,0.1584,0.1894,0.0764,0.2884,安全
133.7521,740,0.791,0.0073,0.0166,0.0121,0.0344,0.2951,0.2235,0.0788,0.4197,安全
103.3315,673,0.7029,0.0,0.0253,0.0082,0.0134,0.124,0.1806,0.0408,0.1437,安全
135.9166,724,0.6002,0.0211,0.001,0.0096,0.0059,0.2373,0.2367,0.0113,0.3889,安全
141.6899,703,0.7585,0.0195,0.0213,0.0328,0.0248,0.2154,0.2575,0.0081,0.4537,安全
174.0845,664,0.6583,0.0276,0.0,0.0144,0.0231,0.1387,0.2298,0.0608,0.5218,安全
114.699,817,0.6428,0.0044,0.0046,0.0113,0.0028,0.1962,0.172,0.0335,0.494,安全
121.4911,702,0.7447,0.0302,0.0127,0.0264,0.0342,0.1805,0.3025,0.0424,0.4074,安全
189.3134,784,0.8067,0.1397,0.0554,0.0651,0.0432,0.1315,0.2592,0.0166,0.4335,安全
120.1944,683,0.6716,0.0074,0.0052,0.0213,0.0119,0.2075,0.2793,0.035,0.2184,安全
108.7191,701,0.8024,0.0261,0.0195,0.0416,0.0072,0.1272,0.2811,0.0373,0.379,安全
106.3845,756,0.8352,0.0039,0.0064,0.0279,0.0051,0.2111,0.4137,0.0435,0.3889,安全
233.1395,650,0.5965,0.3196,0.0095,0.0541,0.0285,0.3862,0.4187,0.1837,0.08,安全
80.0,668,0.7697,0.021,0.025,0.0242,0.0004,0.3149,0.3093,0.0391,0.4536,安全
149.3655,678,0.8537,0.0237,0.0083,0.0257,0.0182,0.1432,0.05,0.0317,0.3551,安全
152.7764,592,0.6838,0.0376,0.0044,0.0361,0.0251,0.2706,0.3301,0.0195,0.3848,安全
95.5643,723,0.813,0.02,0.0091,0.0167,0.0175,0.2162,0.126,0.0,0.5738,安全
80.1849,796,0.7671,0.0473,0.0,0.3704,0.0198,0.3945,0.6199,0.1603,0.6409,安全
124.0017,647,0.9176,0.0052,0.0121,0.0131,0.018,0.2464,0.0808,0.0046,0.4239,安全
162.121,647,0.9346,0.0317,0.0233,0.0072,0.0353,0.2857,0.0587,0.0581,0.5729,欺骗
144.3512,775,0.7528,0.0152,0.0042,0.0239,0.0255,0.1258,0.1723,0.0,0.2835,安全
125.6822,804,0.7309,0.0318,0.0316,0.0249,0.0015,0.1094,0.3503,0.0541,0.4214,安全
133.5948,695,0.6838,0.0094,0.0123,0.0227,0.0182,0.1823,0.1793,0.028,0.2686,安全
132.564,639,0.7544,0.0153,0.004,0.0013,0.0184,0.1001,0.2344,0.0458,0.472,安全
123.7916,739,0.7343,0.0356,0.0116,0.0338,0.0116,0.2273,0.2599,0.0322,0.1344,安全
145.9521,588,0.7297,0.209,0.0134,0.0514,0.0942,0.4216,0.2567,0.0303,0.5046,安全
120.6079,760,0.6147,0.0357,0.0153,0.0,0.0,0.2709,0.3713,0.0478,0.3857,安全
118.8699,676,0.7104,0.0,0.0028,0.0162,0.0,0.2222,0.2329,0.0053,0.392,安全
128.7999,754,0.7453,0.0123,0.0383,0.0131,0.0222,0.2078,0.2721,0.0377,0.3149,安全
140.7042,626,0.7998,0.0031,0.0178,0.0141,0.0228,0.1441,0.3232,0.0628,0.3697,安全
104.0032,593,0.7983,0.0188,0.0048,0.0351,0.0003,0.3013,0.1776,0.0098,0.5756,安全
87.9664,785,0.66,0.0311,0.0079,0.0,0.0214,0.13,0.1468,0.0392,0.287,安全
159.9774,612,0.7749,0.0362,0.0105,0.0247,0.0606,0.4242,0.2174,0.0058,0.3303,安全
115.4815,619,0.8041,0.0317,0.0214,0.0191,0.0079,0.1919,0.1873,0.0892,0.4474,安全
84.7547,682,0.6191,0.0029,0.0104,0.0172,0.0156,0.1346,0.0701,0.0177,0.3429,安全
128.4938,730,0.758,0.0294,0.0251,0.0179,0.0292,0.1808,0.4178,0.0423,0.3842,安全
137.4331,568,0.6963,0.0339,0.037,0.0262,0.0159,0.1924,0.1793,0.0622,0.3767,安全
99.8433,722,0.703,0.0193,0.0028,0.015,0.0013,0.2311,0.1289,0.0433,0.4825,安全
120.0037,650,0.6676,0.0075,0.0076,0.005,0.0185,0.1418,0.2881,0.0455,0.4345,安全
109.559,678,0.6911,0.0096,0.001,0.0223,0.0009,0.2521,0.3283,0.0254,0.3958,安全
86.6646,698,0.7504,0.0323,0.0169,0.0002,0.0151,0.1743,0.1087,0.0307,0.3703,安全
96.7328,640,0.6556,0.0116,0.0155,0.0361,0.0128,0.1928,0.1029,0.0362,0.4198,安全
155.936,758,0.7885,0.0067,0.013,0.0346,0.0283,0.0945,0.2791,0.0154,0.4797,安全
126.9427,638,0.7043,0.017,0.0,0.0883,0.0,0.1193,0.2606,0.0529,0.4657,安全
136.7769,715,0.4124,0.0289,0.0335,0.1281,0.0749,0.2986,0.349,0.1006,0.306,安全
90.4834,709,0.6051,0.2184,0.0,0.0137,0.001,0.4086,0.4416,0.1174,0.3594,安全
104.2705,639,0.6857,0.0044,0.0117,0.0243,0.0023,0.2026,0.2098,0.0,0.4225,安全
129.11,647,0.8776,0.0248,0.0186,0.0272,0.0,0.0804,0.2685,0.0629,0.4871,安全
153.4642,743,0.7849,0.0344,0.0178,0.0172,0.0452,0.116,0.2944,0.0361,0.3515,安全
153.5211,556,0.6393,0.0179,0.0065,0.0171,0.0237,0.2567,0.23,0.0723,0.4736,安全
171.227,668,0.6843,0.0189,0.0,0.041,0.002,0.1865,0.1559,0.0102,0.5223,安全
143.795,705,0.6179,0.0273,0.0151,0.0223,0.0253,0.1224,0.4586,0.0176,0.3726,安全
114.1973,738,0.6402,0.0153,0.0124,0.0088,0.013,0.2396,0.05,0.0143,0.5373,安全
102.6973,775,0.5937,0.0053,0.0061,0.0,0.0177,0.2535,0.0854,0.0736,0.493,安全
131.9594,641,0.6801,0.0139,0.0043,0.006,0.0083,0.1273,0.1154,0.0501,0.3623,安全
104.8051,606,0.8557,0.0242,0.0194,0.0133,0.0187,0.2524,0.2756,0.0305,0.5246,安全
96.1197,635,0.564,0.0788,0.0505,0.1176,0.1497,0.0504,0.05,0.0919,0.4485,安全
101.2941,942,0.439,0.0197,0.0007,0.4506,0.0743,0.474,0.7952,0.1591,0.5002,安全
131.6334,739,0.7115,0.0189,0.0049,0.0136,0.0105,0.2548,0.1478,0.0546,0.3674,安全
150.8627,700,0.5291,0.0285,0.0412,0.2493,0.0518,0.0998,0.2705,0.1275,0.6511,安全
116.9559,615,0.759,0.0108,0.0315,0.015,0.0271,0.2346,0.3207,0.0467,0.5282,安全
143.3259,650,0.8328,0.0461,0.0236,0.0228,0.0092,0.08,0.2992,0.0622,0.3998,安全
120.0087,680,0.8191,0.0363,0.001,0.0325,0.0087,0.2567,0.3536,0.0286,0.3925,安全
129.1749,734,0.7166,0.0082,0.0177,0.0105,0.0244,0.1823,0.2063,0.0243,0.5094,安全
133.6096,689,0.7761,0.0278,0.0317,0.0134,0.0205,0.1431,0.2842,0.0527,0.3964,安全
169.9706,704,0.6339,0.1958,0.0091,0.0311,0.0524,0.3675,0.1949,0.0719,0.1522,安全
122.0895,644,0.7818,0.0296,0.0,0.0326,0.0105,0.2217,0.2516,0.0379,0.4212,安全
140.7651,790,0.743,0.0314,0.0127,0.0261,0.0023,0.2644,0.1119,0.0768,0.4308,安全
204.9157,933,0.689,0.0641,0.0902,0.3774,0.0757,0.54,0.4428,0.1218,0.4958,安全
137.8111,707,0.5768,0.0131,0.0147,0.0177,0.0264,0.3139,0.1512,0.0363,0.5143,安全
158.7249,673,0.7222,0.0285,0.0007,0.012,0.0088,0.1624,0.2283,0.1031,0.483,安全
127.273,613,0.7314,0.0217,0.0,0.0153,0.0082,0.2411,0.3256,0.0405,0.5967,安全
129.3831,748,0.7741,0.027,0.0341,0.0022,0.0085,0.1709,0.2589,0.0405,0.5385,安全
102.8702,666,0.8521,0.1217,0.0047,0.237,0.0,0.4232,0.4164,0.0047,0.6164,安全
114.8419,774,0.6598,0.0,0.0068,0.0086,0.0041,0.2145,0.2186,0.0464,0.3078,重放
147.7883,700,0.8571,0.0419,0.0029,0.0093,0.007,0.0951,0.368,0.0029,0.3688,安全
99.8151,747,0.7823,0.0203,0.0195,0.04,0.0133,0.0767,0.218,0.009,0.4454,安全
133.2857,724,0.7499,0.019,0.0001,0.2038,0.0231,0.1717,0.4871,0.015,0.6396,安全
132.3452,755,0.8712,0.003,0.0193,0.0234,0.0118,0.2442,0.2023,0.0404,0.384,安全
200.8205,923,0.443,0.0045,0.0029,0.3683,0.118,0.3124,0.1715,0.1817,0.3067,安全
129.2661,727,0.6356,0.0286,0.014,0.0058,0.0047,0.1968,0.1784,0.0266,0.3521,安全
119.8711,688,0.8613,0.0098,0.0054,0.042,0.0064,0.1581,0.2309,0.0531,0.3515,安全
159.5388,967,0.9589,0.0826,0.0979,0.3108,0.0815,0.6059,0.5938,0.1694,0.3078,安全
142.3537,699,0.7862,0.0023,0.01,0.024,0.0119,0.1336,0.1986,0.0345,0.5884,安全
155.5603,723,0.8391,0.0078,0.0082,0.0234,0.0239,0.2524,0.3182,0.0238,0.3197,安全
120.3046,819,0.7762,0.0313,0.0152,0.0139,0.0177,0.216,0.1919,0.0337,0.4961,安全
111.2429,767,0.6128,0.0277,0.0215,0.0112,0.0225,0.2814,0.106,0.0293,0.5486,安全
199.7028,1039,0.7613,0.0278,0.0,0.292,0.0676,0.3832,0.6621,0.055,0.4332,安全
97.9387,623,0.7031,0.0207,0.0115,0.0298,0.0143,0.3649,0.2008,0.0419,0.3629,安全
164.7546,775,0.5756,0.2,0.0808,0.1227,0.0449,0.5119,0.3757,0.1422,0.1836,安全
145.8645,676,0.6777,0.0693,0.0142,0.2244,0.0529,0.3483,0.201,0.0955,0.6912,安全
143.5652,773,0.7243,0.0207,0.0078,0.0132,0.0093,0.1973,0.1858,0.0422,0.4105,安全
129.982,660,0.6437,0.0295,0.0138,0.052,0.0158,0.166,0.2268,0.0304,0.495,安全
126.909,645,0.7663,0.0118,0.0247,0.0202,0.0133,0.1968,0.1334,0.0,0.4345,安全
156.3252,620,0.7639,0.0114,0.0003,0.0189,0.0096,0.2504,0.3071,0.0147,0.3322,安全
120.457,772,0.7932,0.0061,0.0,0.0273,0.0204,0.1572,0.05,0.0257,0.4874,安全
131.4324,698,0.6248,0.0301,0.0074,0.0338,0.0115,0.3185,0.1608,0.0477,0.39,安全
87.6876,697,0.7685,0.0151,0.0,0.0109,0.0099,0.2344,0.2512,0.0,0.4186,安全
109.0001,604,0.7208,0.0101,0.0,0.0103,0.0236,0.0936,0.1635,0.0642,0.5144,安全
153.5862,860,0.6782,0.707,0.0535,0.004,0.0207,0.2012,0.6667,0.0193,0.1583,安全
83.2862,773,0.4929,0.2063,0.028,0.0046,0.0037,0.2972,0.2404,0.1398,0.2095,安全
119.6434,639,0.7205,0.0057,0.03,0.018,0.031,0.1539,0.2044,0.0324,0.449,安全
149.7711,779,0.7422,0.0547,0.0053,0.007,0.0303,0.1637,0.2942,0.0539,0.5271,安全
93.2109,669,0.7744,0.0406,0.0185,0.0264,0.0382,0.1634,0.273,0.0452,0.5001,安全
144.5,752,0.8182,0.0173,0.0249,0.0134,0.0249,0.1852,0.3441,0.0093,0.2944,安全
153.8498,667,0.6378,0.0215,0.0044,0.0157,0.0211,0.1168,0.187,0.058,0.4494,安全
145.5017,639,0.679,0.0381,0.0148,0.0175,0.0001,0.2288,0.05,0.0638,0.495,安全
92.9715,775,0.5727,0.0027,0.0229,0.016,0.0123,0.1984,0.2827,0.028,0.5773,安全
153.6437,724,0.7234,0.0324,0.0155,0.0228,0.0499,0.2627,0.1973,0.0084,0.5472,安全
136.8256,657,0.5865,0.009,0.002,0.0299,0.0036,0.1259,0.2079,0.0486,0.4159,安全
134.7773,712,0.7784,0.0228,0.0023,0.0401,0.007,0.1697,0.3213,0.0,0.4087,安全
146.8488,686,0.6995,0.0137,0.0214,0.0183,0.0,0.2873,0.2731,0.0719,0.327,安全
96.8634,710,0.7485,0.0066,0.0027,0.0329,0.0035,0.1523,0.2169,0.0635,0.5056,安全
119.594,693,0.6072,0.0184,0.0156,0.0246,0.0023,0.1937,0.2512,0.0604,0.5028,安全
125.9233,642,0.5702,0.0215,0.0,0.0092,0.0232,0.1931,0.0773,0.0506,0.4835,安全
149.9963,620,0.5942,0.0126,0.0177,0.0239,0.0303,0.2167,0.2112,0.0747,0.4181,安全
211.4616,792,0.6186,0.2814,0.0135,0.0398,0.0,0.2582,0.4763,0.0126,0.5646,安全
198.8378,810,0.6953,0.0,0.1222,0.3772,0.0691,0.3247,0.3557,0.1314,0.2929,安全
112.5172,620,0.6541,0.0481,0.0168,0.0405,0.0155,0.1227,0.2907,0.0475,0.3606,安全
148.2463,706,0.607,0.0245,0.0057,0.0267,0.0218,0.0769,0.05,0.0095,0.4167,安全
143.0782,578,0.6818,0.0026,0.0048,0.0311,0.0107,0.2847,0.2648,0.0504,0.4622,安全
131.7938,568,0.6603,0.0,0.0125,0.0478,0.0013,0.2241,0.3951,0.0,0.602,安全
95.0171,727,0.6929,0.0262,0.0128,0.011,0.0053,0.2279,0.2524,0.0749,0.4041,安全
151.3826,719,0.735,0.0408,0.0004,0.0121,0.0086,0.2085,0.1339,0.0385,0.3608,安全
171.1269,792,0.8224,0.0181,0.0025,0.0121,0.0143,0.1341,0.0653,0.0247,0.2179,安全
135.5351,744,0.7098,0.0406,0.0246,0.0082,0.0,0.3945,0.2586,0.0208,0.3873,安全
133.717,619,0.8138,0.0272,0.0126,0.0089,0.0,0.3193,0.3862,0.0448,0.4177,安全
113.5814,621,0.6501,0.0058,0.0,0.0011,0.0085,0.2246,0.2231,0.0065,0.5217,安全
135.6622,771,0.7282,0.0099,0.0,0.0312,0.0236,0.3247,0.1438,0.046,0.3879,安全
90.6989,797,0.7636,0.008,0.0132,0.0249,0.0312,0.1926,0.2537,0.0382,0.4645,安全
116.017,704,0.7388,0.0342,0.0131,0.0011,0.0093,0.1214,0.0833,0.0174,0.4689,安全
112.5094,731,0.8725,0.0172,0.0164,0.0023,0.0004,0.2259,0.2958,0.0354,0.4059,安全
127.2692,746,0.6981,0.0107,0.0126,0.0,0.0058,0.207,0.282,0.0455,0.4067,安全
154.1985,787,0.5094,0.0196,0.0137,0.023,0.0164,0.2521,0.2239,0.0062,0.2341,安全
113.6933,709,0.5641,0.0073,0.0,0.0159,0.014,0.1514,0.2312,0.0264,0.3652,安全
97.3287,722,0.5192,0.02,0.0228,0.0323,0.0247,0.2035,0.2808,0.0121,0.3899,安全
115.1549,683,0.401,0.013,0.0262,0.0323,0.0233,0.2248,0.2972,0.053,0.498,安全
115.8114,803,0.6472,0.0342,0.0153,0.0147,0.0197,0.0541,0.2039,0.0311,0.3604,安全
142.9005,656,0.7812,0.0284,0.0054,0.0224,0.0288,0.2052,0.344,0.0504,0.4984,安全
115.443,598,0.4409,0.0484,0.0383,0.4176,0.1181,0.2575,0.7372,0.1424,0.491,安全
125.5487,611,0.7432,0.0145,0.0012,0.051,0.0027,0.0537,0.2567,0.0573,0.4062,安全
87.3144,770,0.7375,0.3482,0.0275,0.0788,0.0269,0.2574,0.3421,0.1887,0.5149,安全
109.0212,713,0.7644,0.3468,0.0013,0.0278,0.053,0.3427,0.164,0.1267,0.2543,安全
110.2695,647,0.589,0.0275,0.0021,0.0116,0.0245,0.07,0.1338,0.0562,0.2664,安全
114.0893,670,0.7283,0.0392,0.0026,0.0325,0.0186,0.2639,0.2143,0.0207,0.4165,安全
130.1975,711,0.644,0.0,0.005,0.0214,0.0339,0.1967,0.05,0.0284,0.4506,安全
162.9529,699,0.7336,0.0413,0.0115,0.0142,0.0196,0.3277,0.206,0.07,0.3595,安全
134.0609,754,0.7779,0.0261,0.0179,0.0097,0.0115,0.1685,0.0918,0.0353,0.5071,安全
145.2774,672,0.6467,0.0095,0.0,0.0267,0.0128,0.0803,0.2861,0.0574,0.419,安全
100.6764,661,0.7387,0.0209,0.0,0.011,0.0168,0.1935,0.2346,0.0233,0.3838,安全
87.2967,703,0.6995,0.0262,0.0071,0.0301,0.0161,0.0938,0.2002,0.0111,0.468,安全
137.0581,734,0.6859,0.0105,0.0047,0.0015,0.0357,0.1307,0.2281,0.0502,0.2789,安全
146.8082,771,0.5644,0.4251,0.0419,0.0406,0.1202,0.1474,0.362,0.1345,0.2253,安全
93.5421,671,0.7118,0.0168,0.0119,0.0022,0.01,0.1539,0.0984,0.0561,0.5131,安全
